Genus	year	Date submitted	Case_Reference	Case_number	Collection_(clean)	Plate	Remarks	Patient / Shed Number	Species type	Specimen	Info/Nota	Amp 25-d	Amc 30-d	CL 100-d	Eft 30-d	Enr 5-d	Te 30-d	SF 300-d	W 5-d	Cn10-d	Ery 5-d	Tic 75-d	Ak 30-d
Proteus	2016	4/10/16	CM2016-0934 Box 23 Tube 9	CM2016-0934	Box 23 Tube 9	P57	not sent	260357	Canine	urinary	Free catch urine	S	S	S	.	S	R	S	S	.	.	.	.
Klebsiella	2016	23/11/16	CM2016-1068 Box 23 Tube 37	CM2016-1068	Box 23 Tube 37	K49	not sent	"1188, 1189, 1190, 1191-16"	Avian	systemic or large cavities	"1188-16

A Peritoneum



1189-16

A Liver

A Yolk

B Liver

C Caecum

D Liver



1190-16

A Caecum

A Yolk

B Caecum

B Yolk

B Liver

C Caecum

C Liver

E Yolk



1191-16

A Yolk

B Yolk

C Liver"	S	.	S	.	S	S	R	R	.	.	.	.
Proteus	2016	30/11/16	CM2016-1088 Box 23 Tube 48	CM2016-1088	Box 23 Tube 48	P58	not sent	260357	Canine	urinary	Free catch urine	S	S	S	.	S	R	S	S	.	.	.	.
Proteus	2016	14/12/16	CM2016-1149 Box 23 Tube 68	CM2016-1149	Box 23 Tube 68	P59	not sent	312757	Canine	urinary	Cystocentesis.	S	S	S	.	S	R	S	S	.	.	.	.
Proteus	2017	18/1/17	CM2017-0041 Box 23 Tube 79	CM2017-0041	Box 23 Tube 79	P60	not sent	308898	Canine	urinary	Cystocentesis.	S	S	S	.	S	R	S	S	.	.	.	.
Klebsiella	2017	18/1/17	CM2017-0042 Box 23 Tube 81	CM2017-0042	Box 23 Tube 81	K50	not sent	Case 10	Other (see info)	Systemic	Swab	.	.	.	.	.	.	.	.	.	.	.	.
Klebsiella	2017	20/1/17	CM2017-0051 Box 24 Tube 5	CM2017-0051	Box 24 Tube 5	K51	not sent	314393	Canine	respiratory	ET wash	R	S	S	.	S	S	R	S	.	.	.	.
Klebsiella	2017	25/1/17	CM2017-0060 Box 24 Tube 6	CM2017-0060	Box 24 Tube 6	K52	not sent	312516	Canine	urinary	Cystocentesis.	R	S	S	.	S	R	R	R	.	.	.	.
Klebsiella	2017	31/1/17	CM2017-0082 Box 24 Tube 19	CM2017-0082	Box 24 Tube 19	K53	not sent	314652	Equine	musculo-skeletal	"Synovial fluid in culture bottle

Joint tissue"	R	.	.	S	S	S	S	S	S	.	.	S
Klebsiella	2017	16/2/17	CM2017-0163 Box 24 Tube 48	CM2017-0163	Box 24 Tube 48	K54	not sent	Case 30	Other (see info)	Systemic	Haemolymph swab	.	.	.	.	.	.	.	.	.	.	.	.
Proteus	2017	2/3/17	CM2017-0212 Box 24 Tube 64	CM2017-0212	Box 24 Tube 64	P61	not sent	305485	Canine	urinary	Cystocentesis.	S	S	S	.	S	R	R	R	.	.	.	.
Klebsiella	2017	6/3/17	CM2017-0227 Box 24 Tube 65	CM2017-0227	Box 24 Tube 65	K55	not sent	315443	Feline	urinary	Cystocentesis.	R	R	R	S	R	S	S	S	R	.	.	S
Proteus	2017	10/3/17	CM2017-0255 Box 24 Tube 75	CM2017-0255	Box 24 Tube 75	P62	not sent	308898	Canine	urinary	Cystocentesis.	S	S	S	.	S	R	S	S	.	.	.	.
Klebsiella	2017	14/3/17	"CM2017-0266 Box 24 Tube 79, 80"	CM2017-0266	"Box 24 Tube 79 , 80"	K56	not sent	315443	Feline	urinary	Blood	R	R	S	.	R	S	R	S	R	.	.	S
Proteus	2017	16/3/17	CM2017-0272 Box 25 Tube 1	CM2017-0272	Box 25 Tube 1	P63	not sent	269772	Canine	musculo-skeletal	Swab - left lateral tarsus	S	S	S	.	S	R	R	S	.	.	.	.
Klebsiella	2017	21/3/17	CM2017-0285 Box 25 Tube 3	CM2017-0285	Box 25 Tube 3	K57	not sent	315443	Feline	urinary	Cystocentesis.	R	R	R	.	R	S	R	S	.	.	.	S
Klebsiella	2017	4/3/17	CM2017-0223 Box 25 Tube 9	CM2017-0223	Box 25 Tube 9	K58	not sent	315262	Equine	musculo-skeletal	Synovial fluid in BCB	.	.	.	.	.	.	.	.	.	.	.	.
Klebsiella	2017	6/3/17	CM2017-0226 Box 25 Tube 10	CM2017-0226	Box 25 Tube 10	K59	not sent	315262	Equine	musculo-skeletal	Tissue	.	.	.	.	.	.	.	.	.	.	.	.
Klebsiella	2017	28/3/17	"CM2017-0307 Box 25 Tube 14, 15, 16"	CM2017-0307	"Box 25 Tube 14 , 15 , 16"	K60	not sent	Routine Swabs	Multiple Species - Hospital	Environmental	"Environmental swabs

C1 Satellite keyboards

C5 Day Procedures Keyboards

C6 Day Procedures Telephones

C10 Day Surgery door

C12 Ward keyboards

C16 Consult tables

C20 Day Proceduress wash basin

C23 Day Surgery Cupboards

C26 Satellite Cupboards

C30 D"	.	.	.	.	.	.	.	.	.	.	.	.
Proteus	2017	28/4/17	CM2017-0406 Box 25 Tube 34	CM2017-0406	Box 25 Tube 34	P64	not sent	311548	Canine	urinary	Cystocentesis.	S	S	S	.	S	R	S	S	.	.	.	.
Proteus	2017	2/5/17	CM2017-0418 Box 25 Tube 36	CM2017-0418	Box 25 Tube 36	P65	not sent	Case 56	Other (see info)	Systemic	Haemolymph	.	.	.	.	.	.	.	.	.	.	.	.
Proteus	2017	5/5/17	CM2017-0436 Box 25 Tube 38	CM2017-0436	Box 25 Tube 38	P66	not sent	316811	Canine	urinary	Cystocentesis.	R	S	S	.	R	R	R	R	.	.	.	.
Proteus	2017	5/5/17	CM2017-0438 Box 25 Tube 39	CM2017-0438	Box 25 Tube 39	P67	not sent	301351	Canine	urinary	Cystocentesis.	S	S	S	.	S	R	R	R	.	.	.	.
Proteus	2017	12/5/17	CM2017-0451 Box 25 Tube 41	CM2017-0451	Box 25 Tube 41	P68	not sent	290020	Canine	urinary	"urine, 5 ml, spin down"	S	S	S	.	S	R	S	S	.	.	.	.
Klebsiella	2017	16/6/17	CM2017-0544 Box 25 Tube 57	CM2017-0544	Box 25 Tube 57	K61	not sent	317583	Equine	respiratory	"Transtracheal wash

Pleural fluid"	R	.	.	R	S	R	R	R	R	.	.	S
Klebsiella	2017	16/6/17	CM2017-0545 Box 25 Tube 59	CM2017-0545	Box 25 Tube 59	K62	not sent	317585	Canine	urinary	Cystocentesis.	R	S	S	.	S	S	R	S	.	.	.	.
Klebsiella	2017	3/7/17	CM2017-0596 Box 25 Tube 77	CM2017-0596	Box 25 Tube 77	K63	not sent	255067	Ovine	skin and subcutis	Perioccular Swabs Left and Right	R	.	.	.	S	S	.	.	.	.	.	.
Proteus	2017	7/7/17	CM2017-0625 Box 25 Tube 80	CM2017-0625	Box 25 Tube 80	P69	not sent	317964	Canine	urinary	Cystocentesis.	S	S	S	.	S	R	S	S	.	.	.	.
Proteus	2017	31/8/17	CM2017-0829 Box 26 Tube 19	CM2017-0829	Box 26 Tube 19	P70	not sent	255170	Canine	urinary	Urine	S	S	S	.	S	R	S	S	.	.	.	.
Proteus	2017	14/9/17	CM2017-0867 Box 26 Tube 27	CM2017-0867	Box 26 Tube 27	P71	not sent	318815	Canine	urinary	Free catch urine	S	S	S	.	S	R	R	S	.	.	.	.
Proteus	2017	27/9/17	CM2017-0898 Box 26 Tube 38	CM2017-0898	Box 26 Tube 38	P72	not sent	255170	Canine	urinary	Urine - collection method not specified	S	S	S	.	S	R	S	S	.	.	.	.
Klebsiella	2017	13/11/17	CM2017-1056 Box 26 Tube 40	CM2017-1056	Box 26 Tube 40	K64	not sent	320936	Canine	urinary	Urine	R	S	S	.	S	S	S	S	.	.	.	.
Proteus	2017	3/11/17	CM2017-1019 Box 26 Tube 67	CM2017-1019	Box 26 Tube 67	P73	not sent	319133	Canine	urinary	Urine	S	S	S	.	S	R	S	S	.	.	.	.
Klebsiella	2017	10/11/17	CM2017-1049 Box 26 Tube 76	CM2017-1049	Box 26 Tube 76	K65	not sent	320924	Canine	Systemic	Peritoneal swab	R	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2008	19/6/08	CM2008-0357 E. coli box 1 >> Tube 4	CM2008-0357	E. coli Box 01 Tube 4	E1	Typical	235038	Canine	reproductive	Vulva swab x1	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2008	1/7/08	CM2008-0378 E. coli box 1 >> Tube 10	CM2008-0378	E. coli Box 01 Tube 10	E2	Typical	247554	Feline	urinary	"Urine (~10ml received, not spun as lots of bacteria seen in cytology examination)"	S	S	S	.	S	R	S	S	.	.	.	.
Escherichia	2008	22/7/08	CM2008-0429 E. coli box 1>> Tube 25	CM2008-0429	E. coli Box 01 Tube 25	E3	Contaminated	247993	Canine	digestive	Bile fluid x1	R	R	S	.	R	R	R	R	.	.	.	.
Escherichia	2008	23/7/08	CM2008-0431 E. coli box 1>> Tube 26	CM2008-0431	E. coli Box 01 Tube 26	E4	Typical	243233	Canine	urinary	"Turbid Urine x1 (~1ml received, processed unpsun)"	R	R	R	.	S	R	R	R	.	.	.	.
Escherichia	2008	23/7/08	CM2008-0432 E. coli box 1>> Tube 27	CM2008-0432	E. coli Box 01 Tube 27	E5	Typical	246297	Canine	urinary	"Urine x1 (~40ml received, processed spun)"	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2008	15/8/08	CM2008-0476 E. coli box 1>> Tube 36	CM2008-0476	E. coli Box 01 Tube 36	E6	Typical	248473	Canine	digestive	Vomit fluid x1	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2008	22/8/08	CM2008-0487 E. coli box 1>> Tube 42	CM2008-0487	E. coli Box 01 Tube 42	E7	Typical	248597	Feline	digestive	"Lung tissue x1, Liver tissue x1, Jejunum (small intestine )  tissue x1, swab of L. renal pelvic exudate x1

(Teaching case)"	S	S	S	.	S	S	R	S	.	.	.	.
Escherichia	2008	26/8/08	CM2008-0495 E. coli box 1>> Tube 45	CM2008-0495	E. coli Box 01 Tube 45	E8	Typical	248690	Exotic/other	respiratory	ELAND Lung tissue x1	.	.	.	.	.	.	.	.	.	.	.	.
Escherichia	2008	4/9/08	CM2008-0516 E. coli box 1>> Tube 52	CM2008-0516	E. coli Box 01 Tube 52	E9	Typical	213737	Canine	urinary	"Pyuria urine (2ml received, highly turbid not spun)"	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2008	10/9/08	CM2008-0533 E. coli box 1>> Tube 54	CM2008-0533	E. coli Box 01 Tube 54	E10	Typical	248967	Canine	digestive	Faeces x1	.	.	.	.	.	.	.	.	.	.	.	.
Escherichia	2008	2/10/08	CM2008-0609 E. coli box 1>> Tube 60	CM2008-0609	E. coli Box 01 Tube 60	E11	Typical	249526	Feline	urinary	"Turbid urine x1` (~2ml received, processed unpsun as high turbidity observed)."	R	R	S	.	S	S	S	S	.	.	.	.
Escherichia	2008	8/10/08	CM2008-0630 E. coli box 1>> Tube 67	CM2008-0630	E. coli Box 01 Tube 67	E12	Typical	249617	Equine	skin and subcutis	swab of suppurative umbilicar arteritis	S	.	.	S	S	S	S	S	S	.	.	.
Escherichia	2008	16/10/08	CM2008-0654 E. coli box 1>> Tube 72	CM2008-0654	E. coli Box 01 Tube 72	E13	Typical	249838	Equine	systemic or large cavities	abdominal fluid	R	.	.	R	S	R	R	R	R	.	.	.
Escherichia	2008	16/10/08	CM2008-0658 E. coli box 1>> Tube 73	CM2008-0658	E. coli Box 01 Tube 73	E14	Typical	W1022/08	Exotic/other	systemic or large cavities	Kangaroo Brain abcess and liver	.	.	.	.	.	.	.	.	.	.	.	.
Escherichia	2008	20/10/08	CM2008-0664 E. coli box 1>> Tube 74	CM2008-0664	E. coli Box 01 Tube 74	E15	Typical	249834	Equine	cardiovascular	BCB	S	.	.	S	S	S	S	S	S	.	.	.
Escherichia	2008	20/10/08	CM2008-0665 E. coli box 1>> Tube 75	CM2008-0665	E. coli Box 01 Tube 75	E16	Typical	204845	Canine	digestive	Faeces x1	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2008	23/10/08	CM2008-0674 E. coli box 1>> Tube 77	CM2008-0674	E. coli Box 01 Tube 77	E17	Typical	249999	Equine	cardiovascular	BCB	R	.	.	S	S	S	R	R	R	.	.	.
Escherichia	2008	24/10/08	CM2008-0675 E. coli box 1>> Tube 78	CM2008-0675	E. coli Box 01 Tube 78	E18	Typical	249608	Canine	urinary	Urine x1	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2008	28/10/08	CM2008-0682 E. coli box 1>> Tube 80	CM2008-0682	E. coli Box 01 Tube 80	E19	Typical	233026	Feline	urinary	cloudy urine x1	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2008	30/10/08	CM2008-0686 E. coli box 1>> Tube 81	CM2008-0686	E. coli Box 01 Tube 81	E20	Typical	250084	Canine	digestive	swab Melena (vomiting)	S	S	S	.	S	S	R	S	.	.	.	.
Escherichia	2008	1/12/08	CM2008-0767 E. coli box 2>> Tube 8	CM2008-0767	E. coli Box 02 Tube 8	E21	"Weak Lactose fermenter, Mucoid"	250658	Equine	musculo-skeletal	Leg? tissue samples (grouped as one) x1	R	.	.	S	R	R	R	R	R	.	.	.
Escherichia	2008	3/12/08	CM2008-0772 E. coli box 2>> Tube 9	CM2008-0772	E. coli Box 02 Tube 9	E22	Typical	250969	Equine	digestive	"A Ð L. colon x1, B Ð S. colon x1, C Ð mesempheric lymph node x1, D Ð secum x1, E Ð Ileum x1, F Ð Ileocaecal lymph node x1."	.	.	.	.	.	.	.	.	.	.	.	.
Escherichia	2008	16/12/08	CM2008-0794 E. coli box 2>> Tube 10	CM2008-0794	E. coli Box 02 Tube 10	E23	Mucoid	33351	Feline	urinary	Urine x1	R	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	5/1/09	CM2009-0006 E. coli box 2>> Tube 13	CM2009-0006	E. coli Box 02 Tube 13	E24	Typical	251531	Equine	reproductive	"Peritoneal fluid x1 (~1ml received, processed unspun)"	R	.	.	S	S	R	R	R	R	.	.	.
Escherichia	2009	5/1/09	CM2009-0006 E. coli box 2>> Tube 14	CM2009-0006	E. coli Box 02 Tube 14	E25	Typical	251531	Equine	reproductive	"Peritoneal fluid x1 (~1ml received, processed unspun)"	R	.	.	S	S	R	R	R	R	.	.	.
Escherichia	2009	7/1/09	CM2009-0017 E. coli box 2>> Tube 18	CM2009-0017	E. coli Box 02 Tube 18	E26	Typical	242668	Feline	digestive	"Bile swab x1, Bile fluid x1 (~2ml received, processed spun) and Cholelith stone x1"	R	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	13/1/09	CM2009-0031 E. coli box 2>> Tube 27	CM2009-0031	E. coli Box 02 Tube 27	E27	Typical	58201	Canine	urinary	Cysto urine x1	S	S	S	.	S	S	R	S	.	.	.	.
Escherichia	2009	16/1/09	CM2009-0044 E. coli box 2>> Tube 31	CM2009-0044	E. coli Box 02 Tube 31	E28	Typical	239261	Feline	urinary	"Urine (<1ml received, processed unspun)"	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	5/2/09	CM2009-0095 E. coli box 2>> Tube 37	CM2009-0095	E. coli Box 02 Tube 37	E29	Typical	244246	Canine	urinary	"Turbid cysto urine x1 (~2ml received, processed unspun)"	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	16/2/09	CM2009-0123 E. coli box 2>> Tube 38	CM2009-0123	E. coli Box 02 Tube 38	E30	Non Lactose Fermenter	61900	Canine	Other	"Left ear swab x1

Right ear swab x1

Cysto urine x1 (~1mL received processed unspun)"	S	S	S	.	S	S	R	S	S	.	S	S
Escherichia	2009	4/3/09	CM2009-0194 E. coli box 2>> Tube 40	CM2009-0194	E. coli Box 02 Tube 40	E31	Typical	252233	Canine	urinary	"Urine x1 (~1ml received, processed unspun)"	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	5/3/09	CM2009-0201 E. coli box 2>> Tube 41	CM2009-0201	E. coli Box 02 Tube 41	E32	Typical	237523	Canine	urinary	Turbid urine x1  (not spun)	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	6/3/09	CM2009-0207 E. coli box 2>> Tube 42	CM2009-0207	E. coli Box 02 Tube 42	E33	Typical	250177	Canine	digestive	swab x1	R	R	R	.	R	R	R	R	.	.	.	.
Escherichia	2009	25/3/09	CM2009-0272 E. coli box 2>> Tube 57	CM2009-0272	E. coli Box 02 Tube 57	E34	Typical	253558	Equine	skin and subcutis	Incisional swab x1	S	.	.	S	S	S	S	S	S	.	.	.
Escherichia	2009	25/3/09	CM2009-0273 E. coli box 2>> Tube 58	CM2009-0273	E. coli Box 02 Tube 58	E35	Typical	237523	Canine	urinary	"Urine x1 (~1ml received, processed unspun)"	S	S	S	.	S	S	R	S	.	.	.	.
Escherichia	2009	30/3/09	CM2009-0286 E. coli box 2>> Tube 60	CM2009-0286	E. coli Box 02 Tube 60	E36	Typical	253833	Equine	digestive	Pelvic flexure tissue x1 and Small intestine tissue x1 provided by Priscilla Hodge for enteric culture.	.	.	.	.	.	.	.	.	.	.	.	.
Escherichia	2009	30/3/09	CM2009-0286 E. coli box 2>> Tube 61	CM2009-0286	E. coli Box 02 Tube 61	E37	Typical	253833	Equine	digestive	Pelvic flexure tissue x1 and Small intestine tissue x1 provided by Priscilla Hodge for enteric culture.	.	.	.	.	.	.	.	.	.	.	.	.
Escherichia	2009	30/3/09	CM2009-0284 E. coli box 2>> Tube 63	CM2009-0284	E. coli Box 02 Tube 63	E38	Typical	253765	Equine	skin and subcutis	Discharging abdominal incisional swab x1	R	.	.	S	S	R	R	R	R	.	.	.
Escherichia	2009	7/4/09	CM2009-0312 E. coli box 2>> Tube 64	CM2009-0312	E. coli Box 02 Tube 64	E39	Mucoid	253830	Equine	urinary	"R ureter urine x1(~2ml received, processed unspun)"	R	.	.	S	S	R	R	R	S	.	.	.
Escherichia	2009	17/4/09	CM2009-0332 E. coli box 2>> Tube 65	CM2009-0332	E. coli Box 02 Tube 65	E40	Mucoid	253830	Equine	urinary	"Urine x1 (~10ml received, 5ml processed spun)"	R	.	.	S	S	R	R	R	S	.	.	.
Escherichia	2009	18/4/09	CM2009-0338 E. coli box 2>> Tube 66	CM2009-0338	E. coli Box 02 Tube 66	E41	Typical	254350	Feline	urinary	Urine x1 (Lawn cultures setup by weekend staff)	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	21/4/09	CM2009-0342 E. coli box 2>> Tube 67	CM2009-0342	E. coli Box 02 Tube 67	E42	Typical	254339	Canine	systemic or large cavities	"Faeces x1, Urine x1"	R	R	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	23/4/09	CM2009-0350 E. coli box 2>> Tube 68	CM2009-0350	E. coli Box 02 Tube 68	E43	Typical	254366	Equine	digestive	Post op colic Incisional swab x1	S	.	.	S	S	S	S	S	S	.	.	.
Escherichia	2009	24/4/09	CM2009-0358 E. coli box 2>> Tube 70	CM2009-0358	E. coli Box 02 Tube 70	E44	Weak Lactose fermenter	229908	Feline	urinary	"Urine x1 (~3ml received, but turbid so processed spun)"	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	24/4/09	CM2009-0359 E. coli box 2>> Tube 71	CM2009-0359	E. coli Box 02 Tube 71	E45	Typical	216446	Canine	urinary	"Urine x1 (~10ml received, processed unspun as turbidity observed)"	R	R	S	.	S	R	R	S	.	.	.	.
Escherichia	2009	29/4/09	CM2009-0369 E. coli box 2>> Tube 72	CM2009-0369	E. coli Box 02 Tube 72	E46	Typical	254603	Ovine	digestive	Large intestine tissue x1	.	.	.	.	.	.	.	.	.	.	.	.
Escherichia	2009	1/5/09	CM2009-0374 E. coli box 2>> Tube 73	CM2009-0374	E. coli Box 02 Tube 73	E47	Typical	240115	Canine	digestive	"Faecal x1

C. diff as well"	S	S	S	.	S	S	R	S	.	.	.	.
Escherichia	2009	5/5/09	CM2009-0386 E. coli box 2>> Tube 74	CM2009-0386	E. coli Box 02 Tube 74	E48	Typical	234028	Canine	reproductive	"Mammary gland haemolysed fluid x1 (<1ml received, processed un-spun)"	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	19/5/09	CM2009-0418 E. coli box 2>> Tube 76	CM2009-0418	E. coli Box 02 Tube 76	E49	Typical	254778	Canine	urinary	"Haemolysed Urine x1 (~2ml received, processed un-spun as haemolysed."	R	S	S	.	S	R	S	S	.	.	.	.
Escherichia	2009	20/5/09	CM2009-0425  E. coli box 2>> Tube 77	CM2009-0425	E. coli Box 02 Tube 77	E50	Typical	255043	Equine	digestive	Colon tissue x1	.	.	.	.	.	.	.	.	.	.	.	.
Escherichia	2009	19/5/09	CM2009-0424  E. coli box 2>> Tube 78	CM2009-0424	E. coli Box 02 Tube 78	E51	Typical	no info	Canine	digestive	"PWNK1 DOG; Faecal swab x1, vaginal swab x1, uterus swab x1

PWNK2 DOG; Faecal swab x1, vaginal swab x1, uterus swab x1

PWNK 3 DOG; Faecal swab x1, vaginal swab x1, uterus swab x1, All specimens received from Natalie Krekeler. NOT TO BE CHARGED."	R	R	S	.	S	S	S	R	.	.	.	.
Escherichia	2009	19/5/09	CM2009-0424  E. coli box 2>> Tube 79	CM2009-0424	E. coli Box 02 Tube 79	E52	Contaminated ?	no info	Canine	digestive	"PWNK1 DOG; Faecal swab x1, vaginal swab x1, uterus swab x1

PWNK2 DOG; Faecal swab x1, vaginal swab x1, uterus swab x1

PWNK 3 DOG; Faecal swab x1, vaginal swab x1, uterus swab x1, All specimens received from Natalie Krekeler. NOT TO BE CHARGED."	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	20/5/09	CM2009-0426  E. coli box 2>> Tube 80	CM2009-0426	E. coli Box 02 Tube 80	E53	Typical	254765	Canine	digestive	"Faecal swab x1

C. diff project."	R	R	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	21/5/09	CM2009-0431  E. coli box 2>> Tube 81	CM2009-0431	E. coli Box 02 Tube 81	E54	Typical	24768	Canine	reproductive	"Testicular pus x1 (~1ml received, processed un-spun"	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	23/6/09	CM2009-0510 E coli box 3 >>T01	CM2009-0510	E. coli Box 03 Tube 1	E55	Typical	no info	Canine	systemic or large cavities	"PWNK7 DOG; Faecal swab x1, bladder swab x1, uterus swab x1

Not to be charged!"	R	R	S	.	S	R	R	R	.	.	.	.
Escherichia	2009	23/6/09	CM2009-0511 E coli box 3 >>T02	CM2009-0511	E. coli Box 03 Tube 2	E56	Typical	no info	Canine	systemic or large cavities	"PWNK10 DOG; Faecal swab x1, bladder swab x1, uterus swab x1

Not to be charged!"	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	26/6/09	CM2009-0512 E coli box 3 >>T03	CM2009-0512	E. coli Box 03 Tube 3	E57	Typical	no info	Canine	systemic or large cavities	"PWNK5 DOG; Faecal swab x1, bladder swab x1, uterus swab x1

Not to be charged!"	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	26/6/09	CM2009-0513 E coli box 3 >>T04	CM2009-0513	E. coli Box 03 Tube 4	E58	Typical	no info	Canine	systemic or large cavities	"PWNK8 DOG; Faecal swab x1, bladder swab x1, uterus swab x1

Not to be charged!"	S	S	S	.	S	S	R	S	.	.	.	.
Escherichia	2009	26/6/09	CM2009-0513 E coli box 3 >>T05	CM2009-0513	E. coli Box 03 Tube 5	E59	Typical	no info	Canine	systemic or large cavities	"PWNK8 DOG; Faecal swab x1, bladder swab x1, uterus swab x1

Not to be charged!"	R	R	S	.	S	R	R	S	.	.	.	.
Escherichia	2009	1/7/09	CM2009-0517 E coli box 3 >>T06	CM2009-0517	E. coli Box 03 Tube 6	E60	Typical	No info.	Canine	systemic or large cavities	"PWNK6 DOG; Faecal swab x1, bladder swab x1, uterus swab x1

Not to be charged!"	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	1/7/09	CM2009-0518 E coli box 3 >>T07	CM2009-0518	E. coli Box 03 Tube 7	E61	Typical	No info.	Canine	systemic or large cavities	"PWNK9 DOG; Faecal swab x1, bladder swab x1, uterus swab x1

Not to be charged!"	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	1/7/09	CM2009-0519 E coli box 3 >>T08	CM2009-0519	E. coli Box 03 Tube 8	E62	Typical	No info.	Canine	systemic or large cavities	"PWNK12 DOG; Faecal swab x1, bladder swab x1, uterus swab x1

Not to be charged!"	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	6/7/09	CM2009-0526 E coli box 3 >>T09	CM2009-0526	E. coli Box 03 Tube 9	E63	Typical	256015	Canine	reproductive	"Mammary glands;  FNA swab x1 &

milk/purulent discharge fluid x1 (<1ml received, processed unspun)"	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	8/7/09	CM2009-0528 E coli box 3 >>T11	CM2009-0528	E. coli Box 03 Tube 11	E64	Typical	243233	Canine	urinary	"Cysto urine x1 (~4ml received, processed spun)"	R	R	R	.	S	R	R	R	.	.	.	.
Escherichia	2009	3/7/09	CM2009-0524 E coli box 3 >>T12	CM2009-0524	E. coli Box 03 Tube 12	E65	Typical	255977	Exotic/other	systemic or large cavities	"Dophin specimens: Pleural LN tissue x1, Liver tissue x1, spleen x1, Lung tissue x1, Peritoneum swab x1(two identical swabs received but treated as one), faeces x1 received from Padraig Duignan

C. diff project as well for the faecal specimen."	.	.	.	.	.	.	.	.	.	.	.	.
Escherichia	2009	13/7/09	CM2009-0537 E coli box 3 >>T13	CM2009-0537	E. coli Box 03 Tube 13	E66	Typical	256146	Canine	urinary	"Urine x1 (<1ml received, processed un-spun)"	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	13/7/09	CM2009-0538 E coli box 3 >>T14	CM2009-0538	E. coli Box 03 Tube 14	E67	Typical	256146	Canine	musculo-skeletal	Prostate abscesses swab x1	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	14/7/09	CM2009-0541 E coli box 3 >>T15	CM2009-0541	E. coli Box 03 Tube 15	E68	Typical	256181	Equine	skin and subcutis	Open wound tissue x1	S	.	.	S	S	S	S	S	S	.	.	.
Escherichia	2009	21/7/09	CM2009-0555 E coli box 3 >>T19	CM2009-0555	E. coli Box 03 Tube 19	E69	Typical	254859	Equine	respiratory	Sinus swab x1	R	.	.	S	S	R	R	R	S	.	.	.
Escherichia	2009	22/7/09	CM2009-0558 E coli box 3 >>T20	CM2009-0558	E. coli Box 03 Tube 20	E70	Typical	256191	Equine	systemic or large cavities	"Peritoneal fluid x1 Peritoneal fluid x1 (~5ml received, processed spun)"	R	.	.	S	S	R	R	R	R	.	.	.
Escherichia	2009	27/7/09	CM2009-0564 E coli box 3 >>T21	CM2009-0564	E. coli Box 03 Tube 21	E71	Typical	252050	Canine	mammary	"Expressed milk fluid x1 (<1ml received, processed un-spun)"	R	R	R	.	S	S	S	S	.	.	.	.
Escherichia	2009	23/7/09	CM2009-0569 E coli box 3 >>T22	CM2009-0569	E. coli Box 03 Tube 22	E72	Typical	256328	Feline	urinary	"Urine x1 (~1ml received, processed un-spun)"	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	30/7/09	CM2009-0574 E coli box 3 >>T25	CM2009-0574	E. coli Box 03 Tube 25	E73	Typical	255927	Canine	digestive	Faecal x1	S	S	S	.	S	S	S	R	.	.	.	.
Escherichia	2009	14/8/09	CM2009-0617 E coli box 3 >>T29	CM2009-0617	E. coli Box 03 Tube 29	E74	Typical	256328	Feline	urinary	"Urine x1 (<1ml received, processed un-spun)"	S	S	S	.	S	S	S	S	.	.	.	.
